player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Andy Lee,1906,P,ARZ,1,3,3,4.36,41.33,48.0,,0,0,1,1,1,55.9,2,58,0,0,0.0,0,0,3,13.07,124,1,144
Sam Koch,3148,P,BLT,1,4,4,4.26,42.25,44.75,5.0,0,0,1,1,3,55.4,1,49,0,0,50.0,10,2,4,17.05,169,0,179
Brett Kern,4580,P,TEN,1,3,3,3.68,42.33,50.33,12.0,0,0,0,0,31,59.4,0,59,1,0,66.7,24,2,3,11.04,127,0,151
Kevin Huber,5066,P,CIN,1,7,7,4.29,42.86,47.43,12.0,0,0,1,3,7,66.4,3,61,1,0,14.3,12,1,7,30.0,300,1,332
Bryan Anger,7072,P,DAL,1,3,3,4.14,42.0,49.0,10.5,0,0,0,0,9,60.1,1,62,1,0,66.7,21,2,3,12.42,126,0,147
Johnny Hekker,7252,P,LA,1,1,1,4.58,47.0,50.0,3.0,0,0,0,0,26,60.0,0,50,0,0,100.0,3,1,1,4.58,47,0,50
Sam Martin,7947,P,DEN,1,2,2,3.77,38.0,39.0,2.0,0,0,1,0,10,59.2,0,41,0,0,50.0,2,1,2,7.53,76,0,78
Tress Way,8358,P,WAS,1,3,3,3.89,45.0,46.0,3.0,0,0,0,1,32,61.3,2,56,1,0,33.3,3,1,3,11.67,135,0,138
Pat O'Donnell,8826,P,CHI,1,1,1,4.47,36.0,36.0,,0,0,0,1,6,60.0,1,36,0,0,0.0,0,0,1,4.47,36,0,36
Michael Palardy,9277,P,MIA,1,4,4,4.03,35.0,45.0,6.7,0,0,0,0,17,57.2,0,52,0,0,75.0,20,3,4,16.12,140,1,180
Bradley Pinion,9598,P,TB,1,4,4,4.4,45.75,49.25,7.0,0,0,0,1,30,72.8,3,65,1,0,50.0,14,2,4,17.6,183,0,197
Ty Long,9728,K,LAC,1,2,2,4.15,36.0,47.0,11.0,0,0,0,0,27,58.8,0,47,0,0,100.0,22,2,2,8.3,72,0,94
Jordan Berry,10236,P,MIN,1,8,8,4.24,43.63,50.25,10.6,0,0,1,2,18,65.1,1,63,0,0,62.5,53,5,8,33.95,349,0,402
Riley Dixon,10862,P,NYG,1,3,3,4.53,39.33,54.0,12.0,0,0,0,0,21,63.0,0,61,0,0,66.7,24,2,3,13.59,118,1,162
Rigoberto Sanchez,12130,P,IND,1,4,4,4.32,43.0,46.75,7.5,0,0,0,2,14,58.8,1,52,0,0,50.0,15,2,4,17.29,172,0,187
Matt Haack,12212,P,BUF,1,3,3,4.62,37.33,45.67,5.0,1,0,0,0,4,60.2,2,55,1,0,33.3,5,1,4,13.86,112,1,137
Cameron Johnston,12255,P,HST,1,6,6,4.1,44.17,44.33,0.5,0,0,0,3,13,68.7,3,52,1,0,33.3,1,2,6,24.62,265,0,266
Corey Bojorquez,27626,P,GB,1,4,4,4.59,40.75,44.0,13.0,0,0,1,0,12,62.6,2,59,2,0,25.0,13,1,4,18.34,163,0,176
Logan Cooke,29214,P,JAX,1,6,6,4.41,46.67,49.5,5.7,0,0,1,1,15,67.1,2,58,1,0,50.0,17,3,6,26.47,280,0,297
Tommy Townsend,33007,P,KC,1,2,2,4.05,43.5,45.5,4.0,0,0,1,0,16,59.4,2,47,0,0,50.0,4,1,2,8.1,87,0,91
Joseph Charlton,33672,P,CAR,1,6,6,4.69,35.0,37.5,15.0,0,0,1,3,5,61.7,2,54,1,0,16.7,15,1,6,28.14,210,0,225
Jake Bailey,33963,P,NE,1,2,2,4.52,30.5,49.5,18.0,0,0,0,0,19,59.5,1,62,0,0,50.0,18,1,2,9.03,61,1,99
Matt Ammendola,34039,K,NYJ,1,6,6,3.98,42.5,48.5,12.0,0,0,0,1,22,56.0,2,65,2,0,50.0,36,3,6,23.88,255,0,291
Jack Fox,34735,P,DET,1,3,3,4.39,44.67,50.67,9.0,0,0,0,1,11,62.9,1,57,0,0,66.7,18,2,3,13.16,134,0,152
Michael Dickson,35381,P,SEA,1,5,5,4.0,35.6,37.0,7.0,0,0,2,1,29,61.7,4,49,1,0,20.0,7,1,5,20.0,178,0,185
A.J. Cole III,36038,P,LV,1,6,6,4.64,41.5,52.67,16.8,0,0,0,1,23,70.4,3,67,1,0,66.7,67,4,6,27.84,249,0,316
Mitch Wishnowsky,44663,P,SF,1,2,2,4.6,38.0,38.0,,0,0,1,0,28,61.3,2,43,1,0,0.0,0,0,2,9.2,76,0,76
Braden Mann,44664,P,NYJ,1,1,1,4.64,52.0,56.0,4.0,0,0,0,0,22,60.9,0,56,0,0,100.0,4,1,1,4.64,52,0,56
Blake Gillikin,45045,P,NO,1,2,2,4.32,43.0,51.5,17.0,0,0,1,0,20,59.3,1,58,0,0,50.0,17,1,2,8.64,86,0,103
Cameron Nizialek,60273,P,ATL,1,6,6,4.17,43.33,46.5,4.8,0,0,0,1,2,58.3,3,62,1,0,66.7,19,4,6,24.99,260,0,279
Pressley Harvin III,62973,P,PIT,1,5,5,4.16,41.2,41.4,1.0,0,0,1,1,25,49.2,2,51,2,0,20.0,1,1,5,20.78,206,0,207
Jamie Gillan,63303,P,CLV,1,1,1,4.12,45.0,52.0,7.0,0,0,0,0,8,60.0,0,52,0,0,100.0,7,1,1,4.12,45,0,52
Arryn Siposs,82019,P,PHI,1,4,4,4.28,44.5,47.25,5.5,0,0,2,0,24,68.0,3,54,0,0,50.0,11,2,4,17.13,178,0,189
